,sample,Variable,Sobol index
0,complete,X1,0.5210624959614225
1,complete,X1,0.5283080161020572
2,complete,X1,0.5307570258376627
3,complete,X1,0.49899718794302206
4,complete,X1,0.4383611963723328
5,complete,X1,0.44950565644628176
6,complete,X1,0.4465029191151635
7,complete,X1,0.49658254210532904
8,complete,X1,0.45362220281200977
9,complete,X1,0.48399190528750813
10,complete,X1,0.5009279920183891
11,complete,X1,0.4892618973765809
12,complete,X1,0.4122280902766557
13,complete,X1,0.5345484064501083
14,complete,X1,0.4676962638801624
15,complete,X1,0.47678863723683124
16,complete,X1,0.432891007819979
17,complete,X1,0.4893515914624621
18,complete,X1,0.5552856290858381
19,complete,X1,0.444539727922922
20,complete,X1,0.4828147788293841
21,complete,X1,0.45042681965182235
22,complete,X1,0.4993641983744186
23,complete,X1,0.46265260845152983
24,complete,X1,0.4611644964427622
25,complete,X1,0.519057017339675
26,complete,X1,0.5004901412539093
27,complete,X1,0.4342617546681811
28,complete,X1,0.5107073950415297
29,complete,X1,0.48482529075105035
30,complete,X1,0.440306055252588
31,complete,X1,0.5203568397980448
32,complete,X1,0.42831401406372016
33,complete,X1,0.458081128914441
34,complete,X1,0.5069027429808944
35,complete,X1,0.43113680109502717
36,complete,X1,0.4709256442531395
37,complete,X1,0.4376502222547625
38,complete,X1,0.5094337699391001
39,complete,X1,0.44862534472687515
40,complete,X1,0.5194407328604714
41,complete,X1,0.43615570286488003
42,complete,X1,0.44336618027026387
43,complete,X1,0.5379538216346004
44,complete,X1,0.4388399425226521
45,complete,X1,0.4641801800371102
46,complete,X1,0.47801777481290414
47,complete,X1,0.44694842316149447
48,complete,X1,0.45242310146811376
49,complete,X1,0.526821353909405
50,complete,X1,0.44695400629910775
51,complete,X1,0.5253905043397608
52,complete,X1,0.4652374952036061
53,complete,X1,0.4479625898529819
54,complete,X1,0.5213863343414696
55,complete,X1,0.4972353540649373
56,complete,X1,0.48673783997237435
57,complete,X1,0.517591296600403
58,complete,X1,0.4795318274379137
59,complete,X1,0.44861136197646007
60,complete,X1,0.47826560245916855
61,complete,X1,0.4594283639579112
62,complete,X1,0.48325054174220083
63,complete,X1,0.43776630691323865
64,complete,X1,0.4391455185347271
65,complete,X1,0.5074836199028512
66,complete,X1,0.4425755393554467
67,complete,X1,0.450802852144865
68,complete,X1,0.5096673565880278
69,complete,X1,0.47588389492082106
70,complete,X1,0.42305370906001105
71,complete,X1,0.3967806304800792
72,complete,X1,0.48041337964470343
73,complete,X1,0.41612091829355374
74,complete,X1,0.4592174038977751
75,complete,X1,0.5371324441936913
76,complete,X1,0.4688408745950151
77,complete,X1,0.5210513256010291
78,complete,X1,0.42429021274232903
79,complete,X1,0.5516860446500184
80,complete,X1,0.5059004306083096
81,complete,X1,0.5238050315722672
82,complete,X1,0.43502141201874106
83,complete,X1,0.4925036904532368
84,complete,X1,0.45634031913749684
85,complete,X1,0.4026796432131287
86,complete,X1,0.529817738090613
87,complete,X1,0.4712705829622123
88,complete,X1,0.45465316871111766
89,complete,X1,0.46781584864778053
90,complete,X1,0.4173809165023491
91,complete,X1,0.4697302013712066
92,complete,X1,0.43944956796860746
93,complete,X1,0.48754838380585425
94,complete,X1,0.4601599482585152
95,complete,X1,0.47164499888110273
96,complete,X1,0.44905905849105554
97,complete,X1,0.4708357164781614
98,complete,X1,0.4629369535697037
99,complete,X1,0.4055645842296326
100,complete,X1,0.4905261089192104
101,complete,X1,0.45130801861613135
102,complete,X1,0.4966380542328461
103,complete,X1,0.45969118716849183
104,complete,X1,0.42779771278859685
105,complete,X1,0.5107303616880323
106,complete,X1,0.4518558879342715
107,complete,X1,0.5161541069472397
108,complete,X1,0.4649080267056663
109,complete,X1,0.4511434681172354
110,complete,X1,0.45619363275696856
111,complete,X1,0.4644195343917616
112,complete,X1,0.4835183272969998
113,complete,X1,0.5317518141605446
114,complete,X1,0.5399495417033123
115,complete,X1,0.47493018201543946
116,complete,X1,0.5016574866919475
117,complete,X1,0.4500704235310849
118,complete,X1,0.5185810241290685
119,complete,X1,0.5395531739661593
120,complete,X1,0.4312099252518735
121,complete,X1,0.49926341208460073
122,complete,X1,0.4017447566815096
123,complete,X1,0.49491686371009136
124,complete,X1,0.4045229001435082
125,complete,X1,0.45138846236667646
126,complete,X1,0.4626296559690832
127,complete,X1,0.40213396847773913
128,complete,X1,0.44922496677950613
129,complete,X1,0.47103035877885585
130,complete,X1,0.505919531348541
131,complete,X1,0.5172723756003125
132,complete,X1,0.4097339936145139
133,complete,X1,0.45917418504912044
134,complete,X1,0.44193259504297927
135,complete,X1,0.43932235526039465
136,complete,X1,0.5198229963641248
137,complete,X1,0.47634466738956455
138,complete,X1,0.3640285207646169
139,complete,X1,0.5162142281734281
140,complete,X1,0.5502598261817063
141,complete,X1,0.48918451242907685
142,complete,X1,0.5086744271344958
143,complete,X1,0.581818567519045
144,complete,X1,0.4558839106964119
145,complete,X1,0.46166949501546894
146,complete,X1,0.517343696398805
147,complete,X1,0.5194914035739944
148,complete,X1,0.4981128009573037
149,complete,X1,0.4678563825094758
150,complete,X1,0.4873422855263132
151,complete,X1,0.5254019333631098
152,complete,X1,0.4832182868242269
153,complete,X1,0.4666577683879937
154,complete,X1,0.48665365274294364
155,complete,X1,0.49690807190081043
156,complete,X1,0.4716458410445468
157,complete,X1,0.46160170298236725
158,complete,X1,0.4781429626791921
159,complete,X1,0.45585915659645243
160,complete,X1,0.4409405925201559
161,complete,X1,0.5239101463427528
162,complete,X1,0.46016523477906623
163,complete,X1,0.518762044291
164,complete,X1,0.5157922346699606
165,complete,X1,0.47576088545263834
166,complete,X1,0.450911407767553
167,complete,X1,0.4622903849069178
168,complete,X1,0.5115256114361464
169,complete,X1,0.4294899575163453
170,complete,X1,0.41359568407620684
171,complete,X1,0.41783154858526333
172,complete,X1,0.44858418305877135
173,complete,X1,0.479715084516983
174,complete,X1,0.5460099602266958
175,complete,X1,0.5409038347589289
176,complete,X1,0.5295115202448978
177,complete,X1,0.4276613695225732
178,complete,X1,0.4313577791929497
179,complete,X1,0.4791131748863144
180,complete,X1,0.4406197801200722
181,complete,X1,0.46619540916431434
182,complete,X1,0.4546278407043165
183,complete,X1,0.4638652187103948
184,complete,X1,0.4189956767067218
185,complete,X1,0.5243536041813857
186,complete,X1,0.4628294280739558
187,complete,X1,0.5224203615313804
188,complete,X1,0.466225034893431
189,complete,X1,0.4947212891171494
190,complete,X1,0.47522998183890636
191,complete,X1,0.5125677496847553
192,complete,X1,0.5233812892532078
193,complete,X1,0.44366143380150447
194,complete,X1,0.48688953920605743
195,complete,X1,0.47991968212873415
196,complete,X1,0.43567081815125586
197,complete,X1,0.4614285828607868
198,complete,X1,0.5190462133033329
199,complete,X1,0.5289441677495511
200,complete,X1,0.5125949187404598
201,complete,X1,0.5735504519801103
202,complete,X1,0.4486284773866316
203,complete,X1,0.4421093986514771
204,complete,X1,0.4223210490751374
205,complete,X1,0.4040418964579953
