,sample,Variable,Sobol index
0,complete,X1,0.5954973846043596
1,complete,X1,0.5504070255284343
2,complete,X1,0.5695644330992395
3,complete,X1,0.5389424832123546
4,complete,X1,0.5448585877714114
5,complete,X1,0.5513735148153147
6,complete,X1,0.5809795987307982
7,complete,X1,0.535971775946303
8,complete,X1,0.49497661881468263
9,complete,X1,0.5554896796991605
10,complete,X1,0.5355469245824613
11,complete,X1,0.5558688935568467
12,complete,X1,0.5296915838426253
13,complete,X1,0.5847259022217838
14,complete,X1,0.5979235943946629
15,complete,X1,0.5759983787223945
16,complete,X1,0.5920732639005657
17,complete,X1,0.5708038673965758
18,complete,X1,0.552653356410237
19,complete,X1,0.5434846076359218
20,complete,X1,0.5464194250441115
21,complete,X1,0.5272432029919996
22,complete,X1,0.533760417011766
23,complete,X1,0.5690978738738142
24,complete,X1,0.5279129094175697
25,complete,X1,0.49940649446631286
26,complete,X1,0.5967467564597293
27,complete,X1,0.5431503913972171
28,complete,X1,0.5521908876535535
29,complete,X1,0.5999127477600451
30,complete,X1,0.5764629549748105
31,complete,X1,0.5676146082096933
32,complete,X1,0.5276881418205503
33,complete,X1,0.6457134882028036
34,complete,X1,0.5719845991250373
35,complete,X1,0.5687542483654762
36,complete,X1,0.5249544609022478
37,complete,X1,0.5821487163998781
38,complete,X1,0.5647087532391173
39,complete,X1,0.5490625269751844
40,complete,X1,0.5717564901244392
41,complete,X1,0.6126765285625935
42,complete,X1,0.5606718573570765
43,complete,X1,0.5522324652125369
44,complete,X1,0.5292172040184148
45,complete,X1,0.5627169641828118
46,complete,X1,0.575876208410515
47,complete,X1,0.6144209310021331
48,complete,X1,0.5859262087870788
49,complete,X1,0.5395283337656096
50,complete,X1,0.6051714496385702
51,complete,X1,0.6238799744516116
52,complete,X1,0.6406489013722424
53,complete,X1,0.5636751640898982
54,complete,X1,0.5489954733896252
55,complete,X1,0.5890889284095295
56,complete,X1,0.561341483614017
57,complete,X1,0.5716120356545811
58,complete,X1,0.5317218178080291
59,complete,X1,0.5788929771963659
60,complete,X1,0.5644641998237497
61,complete,X1,0.556876463315467
62,complete,X1,0.5888155308220097
63,complete,X1,0.5639960075593714
64,complete,X1,0.536214366546956
65,complete,X1,0.5694393170056098
66,complete,X1,0.6070142643203787
67,complete,X1,0.5365489353284633
68,complete,X1,0.5588115358623924
69,complete,X1,0.6154053169169749
70,complete,X1,0.5297193281999918
71,complete,X1,0.5650036926516112
72,complete,X1,0.5479171374279764
73,complete,X1,0.588991500350735
74,complete,X1,0.5203692910077206
75,complete,X1,0.6194433759572693
76,complete,X1,0.5330134620172278
77,complete,X1,0.6028084891186705
78,complete,X1,0.5370457016501998
79,complete,X1,0.5410121458714597
80,complete,X1,0.5522584583054677
81,complete,X1,0.5376009919600825
82,complete,X1,0.600941254989324
83,complete,X1,0.5887473991824657
84,complete,X1,0.5844684968903718
85,complete,X1,0.5427920839795588
86,complete,X1,0.6020538318070263
87,complete,X1,0.5333798267235544
88,complete,X1,0.5054947247098104
89,complete,X1,0.5594944444211809
90,complete,X1,0.560226379178335
91,complete,X1,0.575287667568745
92,complete,X1,0.5917104516835536
93,complete,X1,0.5784725295138884
94,complete,X1,0.552334039945091
95,complete,X1,0.5902443417835447
96,complete,X1,0.5075984069462464
97,complete,X1,0.6449899829424461
98,complete,X1,0.5573551879827296
99,complete,X1,0.5037754742523443
100,complete,X1,0.6041299846170113
101,complete,X1,0.5713506890704394
102,complete,X1,0.587196987792351
103,complete,X1,0.5565972067544201
104,complete,X1,0.5963486951491695
105,complete,X1,0.5575926051611139
106,complete,X1,0.5689652217709522
107,complete,X1,0.546547746960728
108,complete,X1,0.6092579121181342
109,complete,X1,0.578111961649757
110,complete,X1,0.5429206230084069
111,complete,X1,0.5696002125547639
112,complete,X1,0.5545859011368561
113,complete,X1,0.5526267005262769
114,complete,X1,0.5406100425679364
115,complete,X1,0.5809837722006379
116,complete,X1,0.5489156881947181
117,complete,X1,0.5728654457870982
118,complete,X1,0.5751325262505679
119,complete,X1,0.5421965097202945
120,complete,X1,0.5579197406737998
121,complete,X1,0.5197704226445634
122,complete,X1,0.5736695369796879
123,complete,X1,0.5522013315602305
124,complete,X1,0.5496846114827023
125,complete,X1,0.5541637980518389
126,complete,X1,0.5920281948380453
127,complete,X1,0.546272796443639
128,complete,X1,0.6213365118168678
129,complete,X1,0.5138511530232682
130,complete,X1,0.5714884795345587
131,complete,X1,0.5659713961463426
132,complete,X1,0.5647475924150711
133,complete,X1,0.5358760725480912
134,complete,X1,0.6028119725750922
135,complete,X1,0.5089172675352515
136,complete,X1,0.5593567781648398
137,complete,X1,0.5573258393055901
138,complete,X1,0.5889424653804297
139,complete,X1,0.5535641695212001
140,complete,X1,0.6255766446122042
141,complete,X1,0.5445141326253076
142,complete,X1,0.6317447096453878
143,complete,X1,0.5913069963360071
144,complete,X1,0.6105881304563996
145,complete,X1,0.5441454234101073
146,complete,X1,0.57418132430363
147,complete,X1,0.5921203510608244
148,complete,X1,0.6223378318257625
149,complete,X1,0.5564288968749942
150,complete,X1,0.5915762286233718
151,complete,X1,0.5825443468685509
152,complete,X1,0.5908431802071707
153,complete,X1,0.5385818323408815
154,complete,X1,0.6095716191274865
155,complete,X1,0.5783109351428832
156,complete,X1,0.5502367375871349
157,complete,X1,0.62745198409872
158,complete,X1,0.576832577670989
159,complete,X1,0.540603104572719
160,complete,X1,0.5235149021661984
161,complete,X1,0.5898967947093715
162,complete,X1,0.5504391572654088
163,complete,X1,0.5659584899416829
164,complete,X1,0.5922347257055067
165,complete,X1,0.5398642543128531
166,complete,X1,0.5588531751554087
167,complete,X1,0.540362338899833
168,complete,X1,0.5542964939966347
169,complete,X1,0.5414581334320558
170,complete,X1,0.5655818352494334
171,complete,X1,0.526737420921078
172,complete,X1,0.5807921835558273
173,complete,X1,0.5847187191684574
174,complete,X1,0.5680179243705716
175,complete,X1,0.5627791842210963
176,complete,X1,0.6175536233188899
177,complete,X1,0.4960246862962449
178,complete,X1,0.5335635792983753
179,complete,X1,0.52491568371815
180,complete,X1,0.5361126700479761
181,complete,X1,0.5529961071060528
182,complete,X1,0.5740272849882319
183,complete,X1,0.5204597215174737
184,complete,X1,0.560407754303108
185,complete,X1,0.5229414706094541
186,complete,X1,0.5498515724842317
187,complete,X1,0.5660544354070619
188,complete,X1,0.5857189223995702
189,complete,X1,0.565718864722453
190,complete,X1,0.5212351582440958
191,complete,X1,0.5535543455538346
192,complete,X1,0.5853165861989437
193,complete,X1,0.5734546834180491
194,complete,X1,0.5658932254153978
195,complete,X1,0.5637104530206664
196,complete,X1,0.5633224054925605
197,complete,X1,0.6235330950911554
198,complete,X1,0.567016505132466
199,complete,X1,0.5524871745229684
200,complete,X1,0.5480750368274876
201,complete,X1,0.6035368674039442
202,complete,X1,0.5533246117174636
203,complete,X1,0.5812733625273506
204,complete,X1,0.5700561059220618
205,complete,X1,0.5622015758371406
206,complete,X1,0.5271719176667652
207,complete,X1,0.5402839857318489
208,complete,X1,0.5672801677715767
209,complete,X1,0.5179609787362014
210,complete,X1,0.5757434165049002
211,complete,X1,0.5748202064611477
212,complete,X1,0.5530570092708536
213,complete,X1,0.620437097928965
214,complete,X1,0.5484496217320805
215,complete,X1,0.5409660972863636
216,complete,X1,0.5580429875252887
217,complete,X1,0.5230322316216027
218,complete,X1,0.5701836179513675
219,complete,X1,0.5109722995570193
220,complete,X1,0.5372998947184653
221,complete,X1,0.5799863925241991
222,complete,X1,0.5233154258214333
223,complete,X1,0.5558842332523958
224,complete,X1,0.5766289454974454
225,complete,X1,0.52162733947146
226,complete,X1,0.5801821994401327
227,complete,X1,0.5121780303753822
228,complete,X1,0.5766366956314978
229,complete,X1,0.5782898720569739
230,complete,X1,0.4970966439209672
231,complete,X1,0.5589734199575831
232,complete,X1,0.5694760772843966
233,complete,X1,0.5937722250451847
234,complete,X1,0.5664436623083242
235,complete,X1,0.5769654125540242
236,complete,X1,0.5381469312193943
237,complete,X1,0.5621246104618987
238,complete,X1,0.5267579264096537
239,complete,X1,0.5850001701424219
240,complete,X1,0.4788461149514484
241,complete,X1,0.586422855651272
242,complete,X1,0.5747913581205233
243,complete,X1,0.5416486186336501
244,complete,X1,0.587169247269029
245,complete,X1,0.5956068120155041
246,complete,X1,0.5283570495686981
247,complete,X1,0.5631624089965533
248,complete,X1,0.5249659575301462
249,complete,X1,0.6068134081756025
250,complete,X1,0.5608744491487901
251,complete,X1,0.5540277499972658
252,complete,X1,0.550592745723527
253,complete,X1,0.580390108128454
254,complete,X1,0.5429654702410341
255,complete,X1,0.5379218699056245
256,complete,X1,0.5206607767825887
257,complete,X1,0.5128074832202444
258,complete,X1,0.5330776338629191
259,complete,X1,0.5423177377298184
260,complete,X1,0.49859489265756857
261,complete,X1,0.5387014880085087
262,complete,X1,0.5625834656114732
263,complete,X1,0.5649363708587641
264,complete,X1,0.6113034844310195
265,complete,X1,0.6053532431607656
266,complete,X1,0.5662560109709747
267,complete,X1,0.5184303226814303
268,complete,X1,0.5455717607219045
269,complete,X1,0.5398891983308375
270,complete,X1,0.5896192103122702
271,complete,X1,0.5637398059086127
272,complete,X1,0.5441256771776336
273,complete,X1,0.5335326438442567
274,complete,X1,0.5543522916412278
275,complete,X1,0.567956574384914
276,complete,X1,0.5799637678123175
277,complete,X1,0.5763066829976586
278,complete,X1,0.5895548805185501
279,complete,X1,0.5242517323051705
280,complete,X1,0.5425635756470936
281,complete,X1,0.5834585722719334
282,complete,X1,0.6544773195080281
283,complete,X1,0.6233688908634388
284,complete,X1,0.5552040389207017
285,complete,X1,0.5310409257707637
286,complete,X1,0.6115932413723941
287,complete,X1,0.5079337589644614
288,complete,X1,0.5590570956814865
289,complete,X1,0.5248499255301234
290,complete,X1,0.5897086505030553
291,complete,X1,0.5440779033274131
292,complete,X1,0.5732206790808068
293,complete,X1,0.5614182266558568
294,complete,X1,0.5347915409216926
295,complete,X1,0.5297145479422085
296,complete,X1,0.5600642581028713
297,complete,X1,0.5600758164031141
298,complete,X1,0.5756901260548076
299,complete,X1,0.5926400153559446
300,complete,X1,0.5437176903106516
301,complete,X1,0.5661279031506218
302,complete,X1,0.5350302756702555
303,complete,X1,0.5495711962110803
304,complete,X1,0.5784692911520324
305,complete,X1,0.5649902439336313
306,complete,X1,0.5563113294301221
307,complete,X1,0.5468130681580099
308,complete,X1,0.5848133856265296
309,complete,X1,0.5740931411216993
310,complete,X1,0.5967259191653819
311,complete,X1,0.5644261465090448
312,complete,X1,0.5904399241751592
313,complete,X1,0.5436677714393303
314,complete,X1,0.5716229291610485
315,complete,X1,0.5752966596709848
316,complete,X1,0.534158670763943
317,complete,X1,0.5216814088293016
318,complete,X1,0.5604288262493696
319,complete,X1,0.5300018407843172
320,complete,X1,0.5908810581543945
321,complete,X1,0.5827340634042442
322,complete,X1,0.49053533835804075
323,complete,X1,0.5589966723060608
324,complete,X1,0.5353279887967739
325,complete,X1,0.5762146132611878
326,complete,X1,0.5991803537708698
327,complete,X1,0.5266174994485202
328,complete,X1,0.5765515349273531
329,complete,X1,0.5302336826033943
330,complete,X1,0.5701598523872196
331,complete,X1,0.5851956742743923
332,complete,X1,0.594302094061371
333,complete,X1,0.5048633725349446
334,complete,X1,0.553848673303175
335,complete,X1,0.5542041708760377
336,complete,X1,0.5554108634889895
337,complete,X1,0.5870758260092298
338,complete,X1,0.5692464552410329
339,complete,X1,0.5308440062456828
340,complete,X1,0.5467501770334309
341,complete,X1,0.54440006697206
342,complete,X1,0.5457374062733678
343,complete,X1,0.6348726996647771
344,complete,X1,0.5671765088410221
345,complete,X1,0.5610774742618732
346,complete,X1,0.5703469835457363
347,complete,X1,0.5579660423771776
348,complete,X1,0.5905901317852319
349,complete,X1,0.5359525688737251
350,complete,X1,0.5533526661667337
351,complete,X1,0.5441060025571227
352,complete,X1,0.5077200125096872
353,complete,X1,0.5380007449687234
354,complete,X1,0.5354314491997894
355,complete,X1,0.5573402588714428
356,complete,X1,0.6026532256422372
357,complete,X1,0.5144544479295025
358,complete,X1,0.5927470830243021
359,complete,X1,0.5675175397657582
360,complete,X1,0.5348664860600733
361,complete,X1,0.5553030311311753
362,complete,X1,0.5968729498980487
363,complete,X1,0.6006722248115471
364,complete,X1,0.5720159750116209
365,complete,X1,0.5683478899618897
366,complete,X1,0.6076716889070088
367,complete,X1,0.5695616407376048
368,complete,X1,0.5340184170275288
369,complete,X1,0.5173992487790287
370,complete,X1,0.6479818306624336
371,complete,X1,0.5503562376032576
372,complete,X1,0.5791638622622483
373,complete,X1,0.5337271670438124
374,complete,X1,0.5954181019611965
375,complete,X1,0.5705327584223648
376,complete,X1,0.5693026167683288
377,complete,X1,0.5937438323635023
378,complete,X1,0.5730242271556504
379,complete,X1,0.550550516000706
380,complete,X1,0.5851488051581548
381,complete,X1,0.5421900609564402
382,complete,X1,0.5108902982901805
383,complete,X1,0.5597897863181354
384,complete,X1,0.5987581196715027
385,complete,X1,0.5151611436000657
386,complete,X1,0.5585933231505491
387,complete,X1,0.5830253776110736
388,complete,X1,0.4635869756306062
389,complete,X1,0.5517075176431977
390,complete,X1,0.4961430884322279
391,complete,X1,0.6012293027763973
392,complete,X1,0.567677340861593
393,complete,X1,0.5557666982076013
394,complete,X1,0.5546619281537778
395,complete,X1,0.5290954062130347
396,complete,X1,0.5293050597478955
397,complete,X1,0.5878849733855829
398,complete,X1,0.5485453825961474
399,complete,X1,0.5839624433945205
400,complete,X1,0.5241539589679712
401,complete,X1,0.5782179275823066
402,complete,X1,0.5595727587901485
403,complete,X1,0.5313572307580163
404,complete,X1,0.5298530695179892
405,complete,X1,0.5840895750049826
406,complete,X1,0.5632114892412529
407,complete,X1,0.5322626800561304
408,complete,X1,0.5780442094423058
409,complete,X1,0.5431525799496456
410,complete,X1,0.5793781721721077
411,complete,X1,0.5724738361927005
412,complete,X1,0.5295529560313024
413,complete,X1,0.6284070643749201
